scenario,index1,index2,G,B
0,0.0,0.0,6.765516048652632,-21.23160167089863
0,0.0,1.0,-5.224646179885656,15.646726840803398
0,0.0,2.0,-1.5408698687669766,5.631674830095234
0,1.0,0.0,-5.224646179885656,15.646726840803398
0,1.0,1.0,9.75228216552403,-30.648662892676068
0,1.0,3.0,-1.7055303166990268,5.1973792282565086
0,1.0,4.0,-1.1359607881738778,4.772479328281356
0,1.0,5.0,-1.6861448807654689,5.116477495334806
0,2.0,0.0,-1.5408698687669766,5.631674830095234
0,2.0,2.0,9.736318911079088,-29.13794745915803
0,2.0,3.0,-8.19544904231211,23.5308726290628
0,3.0,1.0,-1.7055303166990268,5.1973792282565086
0,3.0,2.0,-8.19544904231211,23.5308726290628
0,3.0,3.0,16.314103089185693,-55.509410535254254
0,3.0,5.0,-6.413123730174556,22.31120356548123
0,3.0,11.0,0.0,4.191255364806866
0,4.0,1.0,-1.1359607881738778,4.772479328281356
0,4.0,4.0,4.089980824135861,-12.190647245055052
0,4.0,6.0,-2.954020035961983,7.449267916773697
0,5.0,1.0,-1.6861448807654689,5.116477495334806
0,5.0,3.0,-6.413123730174556,22.31120356548123
0,5.0,5.0,22.341631269034565,-82.8291478657789
0,5.0,6.0,-3.590210423980992,11.02611441072814
0,5.0,7.0,-6.289308176100628,22.0125786163522
0,5.0,8.0,0.0,4.915840805411357
0,5.0,9.0,0.0,1.8561002591115965
0,5.0,27.0,-4.362844058012917,15.463571542897856
0,6.0,4.0,-2.954020035961983,7.449267916773697
0,6.0,5.0,-3.590210423980992,11.02611441072814
0,6.0,6.0,6.544230459942975,-18.45668232750184
0,7.0,5.0,-6.289308176100628,22.0125786163522
0,7.0,7.0,7.733287237496075,-26.527493274828448
0,7.0,27.0,-1.4439790613954469,4.540814658476248
0,8.0,5.0,0.0,4.915840805411357
0,8.0,8.0,0.0,-18.706293706293707
0,8.0,9.0,0.0,9.090909090909092
0,8.0,10.0,0.0,4.807692307692308
0,9.0,5.0,0.0,1.8561002591115965
0,9.0,8.0,0.0,9.090909090909092
0,9.0,9.0,13.462042814524237,-41.3837606675224
0,9.0,16.0,-3.956039125715353,10.317447719844054
0,9.0,19.0,-1.7848303152666305,3.98535828943083
0,9.0,20.0,-5.101853820159654,10.98071411292983
0,9.0,21.0,-2.619319553382597,5.400770303329455
0,10.0,8.0,0.0,4.807692307692308
0,10.0,10.0,0.0,-4.807692307692308
0,11.0,3.0,0.0,4.191255364806866
0,11.0,11.0,6.573961583776156,-24.424167659260668
0,11.0,12.0,0.0,7.142857142857143
0,11.0,13.0,-1.5265676088395577,3.1734252729654173
0,11.0,14.0,-3.0953961826564296,6.097275864326261
0,11.0,15.0,-1.9519977922801688,4.104359379111847
0,12.0,11.0,0.0,7.142857142857143
0,12.0,12.0,0.0,-7.142857142857143
0,13.0,11.0,-1.5265676088395577,3.1734252729654173
0,13.0,13.0,4.01751987283902,-5.424299332335067
0,13.0,14.0,-2.4909522639994623,2.250874059369649
0,14.0,11.0,-3.0953961826564296,6.097275864326261
0,14.0,13.0,-2.4909522639994623,2.250874059369649
0,14.0,14.0,9.365498545964757,-16.01163373210796
0,14.0,17.0,-1.8108011504072024,3.687418931630696
0,14.0,22.0,-1.9683489489016612,3.976064876781356
0,15.0,11.0,-1.9519977922801688,4.104359379111847
0,15.0,15.0,3.271064728633931,-8.94513365126506
0,15.0,16.0,-1.3190669363537617,4.8407742721532125
0,16.0,9.0,-3.956039125715353,10.317447719844054
0,16.0,15.0,-1.3190669363537617,4.8407742721532125
0,16.0,16.0,5.275106062069114,-15.158221991997266
0,17.0,14.0,-1.8108011504072024,3.687418931630696
0,17.0,17.0,4.886487584415919,-9.906177730909668
